Population Aged 15 Years and Over 2011 to 2016 (Number) by Highest,,,,
"Level of Ed, Sex, Age at which Full Time Education Ceased, County and",,,,
City and Census Year,,,,
,,,,
 , , ,Cavan,1
 , , ,Donegal,18
 , , ,Monaghan,0
 , ,24 years,,
 , , ,State,1138
 , , ,Carlow,4
 , , ,Dublin City,202
 , , ,Dún Laoghaire-Rathdown,179
 , , ,Fingal,69
 , , ,South Dublin,45
 , , ,Kildare,43
 , , ,Kilkenny,8
 , , ,Laois,11
 , , ,Longford,2
 , , ,Louth,10
 , , ,Meath,28
 , , ,Offaly,7
 , , ,Westmeath,11
 , , ,Wexford,14
 , , ,Wicklow,37
 , , ,Clare,22
 , , ,Cork City,48
 , , ,Cork County,115
 , , ,Kerry,22
 , , ,Limerick City and County,35
 , , ,Tipperary,17
 , , ,Waterford City and County,32
 , , ,Galway City,51
 , , ,Galway County,57
 , , ,Leitrim,3
 , , ,Mayo,14
 , , ,Roscommon,7
 , , ,Sligo,11
 , , ,Cavan,6
 , , ,Donegal,25
 , , ,Monaghan,3
 , ,25 years and over,,
 , , ,State,10263
 , , ,Carlow,64
 , , ,Dublin City,2159
 , , ,Dún Laoghaire-Rathdown,1292
 , , ,Fingal,669
 , , ,South Dublin,490
 , , ,Kildare,474
 , , ,Kilkenny,99
 , , ,Laois,67
 , , ,Longford,25
 , , ,Louth,143
 , , ,Meath,235
 , , ,Offaly,42
 , , ,Westmeath,105
 , , ,Wexford,138
 , , ,Wicklow,301
 , , ,Clare,192
 , , ,Cork City,519
 , , ,Cork County,909
 , , ,Kerry,185
 , , ,Limerick City and County,431
 , , ,Tipperary,167
 , , ,Waterford City and County,182
 , , ,Galway City,436
 , , ,Galway County,406
 , , ,Leitrim,31
 , , ,Mayo,136
 , , ,Roscommon,49
 , , ,Sligo,98
 , , ,Cavan,47
 , , ,Donegal,145
 , , ,Monaghan,27
 ,Female,,,
 , ,18 years,,
 , , ,State,83
 , , ,Carlow,0
 , , ,Dublin City,18
 , , ,Dún Laoghaire-Rathdown,10
 , , ,Fingal,5
 , , ,South Dublin,4
 , , ,Kildare,4
 , , ,Kilkenny,1
 , , ,Laois,1
 , , ,Longford,1
 , , ,Louth,1
 , , ,Meath,0
 , , ,Offaly,1
 , , ,Westmeath,1
 , , ,Wexford,0
 , , ,Wicklow,3
 , , ,Clare,5
 , , ,Cork City,5
 , , ,Cork County,4
 , , ,Kerry,1
 , , ,Limerick City and County,3
 , , ,Tipperary,1
 , , ,Waterford City and County,1
 , , ,Galway City,3
 , , ,Galway County,2
 , , ,Leitrim,0
 , , ,Mayo,2
 , , ,Roscommon,1
 , , ,Sligo,3
 , , ,Cavan,0
 , , ,Donegal,2
 , , ,Monaghan,0
 , ,19 years,,
 , , ,State,48
 , , ,Carlow,0
 , , ,Dublin City,14
 , , ,Dún Laoghaire-Rathdown,5
 , , ,Fingal,6
 , , ,South Dublin,3
 , , ,Kildare,1
 , , ,Kilkenny,1
 , , ,Laois,0
 , , ,Longford,0
 , , ,Louth,0
 , , ,Meath,1
 , , ,Offaly,0
 , , ,Westmeath,0
 , , ,Wexford,0
 , , ,Wicklow,2
 , , ,Clare,1
 , , ,Cork City,2
 , , ,Cork County,3
 , , ,Kerry,0
 , , ,Limerick City and County,2
 , , ,Tipperary,1
 , , ,Waterford City and County,1
 , , ,Galway City,0
 , , ,Galway County,2
 , , ,Leitrim,1
 , , ,Mayo,2
 , , ,Roscommon,0
 , , ,Sligo,0
 , , ,Cavan,0
 , , ,Donegal,0
 , , ,Monaghan,0
 , ,20 years,,
 , , ,State,112
 , , ,Carlow,2
 , , ,Dublin City,24
 , , ,Dún Laoghaire-Rathdown,10
 , , ,Fingal,9
 , , ,South Dublin,8
 , , ,Kildare,11
 , , ,Kilkenny,1
 , , ,Laois,0
 , , ,Longford,0
 , , ,Louth,2
 , , ,Meath,1
 , , ,Offaly,0
 , , ,Westmeath,1
 , , ,Wexford,1
 , , ,Wicklow,2
 , , ,Clare,4
 , , ,Cork City,4
 , , ,Cork County,5
 , , ,Kerry,4
 , , ,Limerick City and County,6
 , , ,Tipperary,5
 , , ,Waterford City and County,3
 , , ,Galway City,2
 , , ,Galway County,0
 , , ,Leitrim,0
 , , ,Mayo,1
 , , ,Roscommon,2
 , , ,Sligo,3
 , , ,Cavan,0
 , , ,Donegal,1
 , , ,Monaghan,0
 , ,21 years,,
 , , ,State,346
 , , ,Carlow,2
 , , ,Dublin City,65
 , , ,Dún Laoghaire-Rathdown,50
 , , ,Fingal,28
 , , ,South Dublin,13
 , , ,Kildare,13
 , , ,Kilkenny,7
 , , ,Laois,2
 , , ,Longford,3
 , , ,Louth,5
 , , ,Meath,11
 , , ,Offaly,0
 , , ,Westmeath,2
 , , ,Wexford,5
 , , ,Wicklow,13
 , , ,Clare,6
 , , ,Cork City,7
 , , ,Cork County,21
 , , ,Kerry,3
 , , ,Limerick City and County,11
 , , ,Tipperary,11
 , , ,Waterford City and County,7
 , , ,Galway City,13
 , , ,Galway County,15
 , , ,Leitrim,2
 , , ,Mayo,3
 , , ,Roscommon,5
 , , ,Sligo,8
 , , ,Cavan,3
 , , ,Donegal,12
 , , ,Monaghan,0
 , ,22 years,,
 , , ,State,321
 , , ,Carlow,1
 , , ,Dublin City,60
 , , ,Dún Laoghaire-Rathdown,36
 , , ,Fingal,23
 , , ,South Dublin,15
 , , ,Kildare,17
 , , ,Kilkenny,7
 , , ,Laois,3
 , , ,Longford,2
 , , ,Louth,1
 , , ,Meath,16
 , , ,Offaly,2
 , , ,Westmeath,1
 , , ,Wexford,12
 , , ,Wicklow,16
 , , ,Clare,8
 , , ,Cork City,10
 , , ,Cork County,23
 , , ,Kerry,6
 , , ,Limerick City and County,11
 , , ,Tipperary,5
 , , ,Waterford City and County,11
 , , ,Galway City,9
 , , ,Galway County,10
 , , ,Leitrim,1
 , , ,Mayo,4
 , , ,Roscommon,1
 , , ,Sligo,2
 , , ,Cavan,0
 , , ,Donegal,7
 , , ,Monaghan,1
 , ,23 years,,
 , , ,State,462
 , , ,Carlow,0
 , , ,Dublin City,91
 , , ,Dún Laoghaire-Rathdown,70
 , , ,Fingal,35
 , , ,South Dublin,21
 , , ,Kildare,12
 , , ,Kilkenny,2
 , , ,Laois,3
 , , ,Longford,0
 , , ,Louth,6
 , , ,Meath,13
 , , ,Offaly,2
 , , ,Westmeath,4
 , , ,Wexford,9
 , , ,Wicklow,7
 , , ,Clare,7
 , , ,Cork City,11
 , , ,Cork County,44
 , , ,Kerry,15
 , , ,Limerick City and County,8
 , , ,Tipperary,7
 , , ,Waterford City and County,12
 , , ,Galway City,21
 , , ,Galway County,24
 , , ,Leitrim,0
 , , ,Mayo,6
 , , ,Roscommon,5
 , , ,Sligo,4
 , , ,Cavan,4
 , , ,Donegal,13
 , , ,Monaghan,6
 , ,24 years,,
 , , ,State,723
 , , ,Carlow,8
 , , ,Dublin City,140
 , , ,Dún Laoghaire-Rathdown,97
 , , ,Fingal,47
 , , ,South Dublin,30
 , , ,Kildare,27
 , , ,Kilkenny,8
 , , ,Laois,4
 , , ,Longford,1
 , , ,Louth,17
 , , ,Meath,25
 , , ,Offaly,3
 , , ,Westmeath,12
 , , ,Wexford,8
 , , ,Wicklow,21
 , , ,Clare,12
 , , ,Cork City,31
 , , ,Cork County,76
 , , ,Kerry,16
 , , ,Limerick City and County,18
 , , ,Tipperary,11
 , , ,Waterford City and County,13
 , , ,Galway City,38
 , , ,Galway County,27
 , , ,Leitrim,2
 , , ,Mayo,6
 , , ,Roscommon,4
 , , ,Sligo,9
 , , ,Cavan,2
 , , ,Donegal,7
 , , ,Monaghan,3
 , ,25 years and over,,
 , , ,State,8188
 , , ,Carlow,56
 , , ,Dublin City,1819
 , , ,Dún Laoghaire-Rathdown,939
 , , ,Fingal,484
 , , ,South Dublin,367
 , , ,Kildare,415
 , , ,Kilkenny,79
 , , ,Laois,43
 , , ,Longford,23
 , , ,Louth,104
 , , ,Meath,208
 , , ,Offaly,51
 , , ,Westmeath,73
 , , ,Wexford,89
 , , ,Wicklow,243
 , , ,Clare,164
 , , ,Cork City,375
 , , ,Cork County,766
 , , ,Kerry,128
 , , ,Limerick City and County,324
 , , ,Tipperary,157
 , , ,Waterford City and County,140
 , , ,Galway City,333
 , , ,Galway County,362
 , , ,Leitrim,32
 , , ,Mayo,104
 , , ,Roscommon,52
 , , ,Sligo,83
 , , ,Cavan,35
 , , ,Donegal,105
 , , ,Monaghan,35
