Education,Gender,Age,County,Occurrences
Primary,Male,24 years,Dún Laoghaire-Rathdown,0
Primary,Male,24 years,Fingal,0
Primary,Male,24 years,South Dublin,0
Primary,Male,24 years,Kildare,0
Primary,Male,24 years,Kilkenny,0
Primary,Male,24 years,Laois,0
Primary,Male,24 years,Longford,0
Primary,Male,24 years,Louth,0
Primary,Male,24 years,Meath,0
Primary,Male,24 years,Offaly,0
Primary,Male,24 years,Westmeath,0
Primary,Male,24 years,Wexford,0
Primary,Male,24 years,Wicklow,0
Primary,Male,24 years,Clare,0
Primary,Male,24 years,Cork City,0
Primary,Male,24 years,Cork County,0
Primary,Male,24 years,Kerry,0
Primary,Male,24 years,Limerick City and County,0
Primary,Male,24 years,Tipperary,0
Primary,Male,24 years,Waterford City and County,0
Primary,Male,24 years,Galway City,0
Primary,Male,24 years,Galway County,0
Primary,Male,24 years,Leitrim,0
Primary,Male,24 years,Mayo,0
Primary,Male,24 years,Roscommon,0
Primary,Male,24 years,Sligo,0
Primary,Male,24 years,Cavan,0
Primary,Male,24 years,Donegal,0
Primary,Male,24 years,Monaghan,0
,,,,
Primary,Male,25 years and over,State,0
Primary,Male,25 years and over,Carlow,0
Primary,Male,25 years and over,Dublin City,0
Primary,Male,25 years and over,Dún Laoghaire-Rathdown,0
Primary,Male,25 years and over,Fingal,0
Primary,Male,25 years and over,South Dublin,0
Primary,Male,25 years and over,Kildare,0
Primary,Male,25 years and over,Kilkenny,0
Primary,Male,25 years and over,Laois,0
Primary,Male,25 years and over,Longford,0
Primary,Male,25 years and over,Louth,0
Primary,Male,25 years and over,Meath,0
Primary,Male,25 years and over,Offaly,0
Primary,Male,25 years and over,Westmeath,0
Primary,Male,25 years and over,Wexford,0
Primary,Male,25 years and over,Wicklow,0
Primary,Male,25 years and over,Clare,0
Primary,Male,25 years and over,Cork City,0
Primary,Male,25 years and over,Cork County,0
Primary,Male,25 years and over,Kerry,0
Primary,Male,25 years and over,Limerick City and County,0
Primary,Male,25 years and over,Tipperary,0
Primary,Male,25 years and over,Waterford City and County,0
Primary,Male,25 years and over,Galway City,0
Primary,Male,25 years and over,Galway County,0
Primary,Male,25 years and over,Leitrim,0
Primary,Male,25 years and over,Mayo,0
Primary,Male,25 years and over,Roscommon,0
Primary,Male,25 years and over,Sligo,0
Primary,Male,25 years and over,Cavan,0
Primary,Male,25 years and over,Donegal,0
Primary,Male,25 years and over,Monaghan,0
,,,,
,,,,
Primary,Female,18 years,State,3372
Primary,Female,18 years,Carlow,53
Primary,Female,18 years,Dublin City,370
Primary,Female,18 years,Dún Laoghaire-Rathdown,92
Primary,Female,18 years,Fingal,177
Primary,Female,18 years,South Dublin,170
Primary,Female,18 years,Kildare,161
Primary,Female,18 years,Kilkenny,84
Primary,Female,18 years,Laois,77
Primary,Female,18 years,Longford,29
Primary,Female,18 years,Louth,101
Primary,Female,18 years,Meath,135
Primary,Female,18 years,Offaly,61
Primary,Female,18 years,Westmeath,72
Primary,Female,18 years,Wexford,118
Primary,Female,18 years,Wicklow,108
Primary,Female,18 years,Clare,80
Primary,Female,18 years,Cork City,66
Primary,Female,18 years,Cork County,235
Primary,Female,18 years,Kerry,126
Primary,Female,18 years,Limerick City and County,136
Primary,Female,18 years,Tipperary,139
Primary,Female,18 years,Waterford City and County,88
Primary,Female,18 years,Galway City,40
Primary,Female,18 years,Galway County,124
Primary,Female,18 years,Leitrim,28
Primary,Female,18 years,Mayo,130
Primary,Female,18 years,Roscommon,61
Primary,Female,18 years,Sligo,64
Primary,Female,18 years,Cavan,63
Primary,Female,18 years,Donegal,122
Primary,Female,18 years,Monaghan,62
,,,,
Primary,Female,19 years,State,842
Primary,Female,19 years,Carlow,16
Primary,Female,19 years,Dublin City,89
Primary,Female,19 years,Dún Laoghaire-Rathdown,24
Primary,Female,19 years,Fingal,36
Primary,Female,19 years,South Dublin,57
Primary,Female,19 years,Kildare,38
Primary,Female,19 years,Kilkenny,10
Primary,Female,19 years,Laois,16
Primary,Female,19 years,Longford,11
Primary,Female,19 years,Louth,29
Primary,Female,19 years,Meath,36
Primary,Female,19 years,Offaly,21
Primary,Female,19 years,Westmeath,18
Primary,Female,19 years,Wexford,24
Primary,Female,19 years,Wicklow,22
Primary,Female,19 years,Clare,16
Primary,Female,19 years,Cork City,25
Primary,Female,19 years,Cork County,81
Primary,Female,19 years,Kerry,23
Primary,Female,19 years,Limerick City and County,30
Primary,Female,19 years,Tipperary,26
Primary,Female,19 years,Waterford City and County,16
Primary,Female,19 years,Galway City,7
Primary,Female,19 years,Galway County,29
Primary,Female,19 years,Leitrim,5
Primary,Female,19 years,Mayo,34
Primary,Female,19 years,Roscommon,19
Primary,Female,19 years,Sligo,14
Primary,Female,19 years,Cavan,19
Primary,Female,19 years,Donegal,32
Primary,Female,19 years,Monaghan,19
,,,,
Primary,Female,20 years,State,0
Primary,Female,20 years,Carlow,0
Primary,Female,20 years,Dublin City,0
Primary,Female,20 years,Dún Laoghaire-Rathdown,0
Primary,Female,20 years,Fingal,0
Primary,Female,20 years,South Dublin,0
Primary,Female,20 years,Kildare,0
Primary,Female,20 years,Kilkenny,0
Primary,Female,20 years,Laois,0
Primary,Female,20 years,Longford,0
Primary,Female,20 years,Louth,0
Primary,Female,20 years,Meath,0
Primary,Female,20 years,Offaly,0
Primary,Female,20 years,Westmeath,0
Primary,Female,20 years,Wexford,0
Primary,Female,20 years,Wicklow,0
Primary,Female,20 years,Clare,0
Primary,Female,20 years,Cork City,0
Primary,Female,20 years,Cork County,0
Primary,Female,20 years,Kerry,0
Primary,Female,20 years,Limerick City and County,0
Primary,Female,20 years,Tipperary,0
Primary,Female,20 years,Waterford City and County,0
Primary,Female,20 years,Galway City,0
Primary,Female,20 years,Galway County,0
Primary,Female,20 years,Leitrim,0
Primary,Female,20 years,Mayo,0
Primary,Female,20 years,Roscommon,0
Primary,Female,20 years,Sligo,0
Primary,Female,20 years,Cavan,0
Primary,Female,20 years,Donegal,0
Primary,Female,20 years,Monaghan,0
,,,,
Primary,Female,21 years,State,0
Primary,Female,21 years,Carlow,0
Primary,Female,21 years,Dublin City,0
Primary,Female,21 years,Dún Laoghaire-Rathdown,0
Primary,Female,21 years,Fingal,0
Primary,Female,21 years,South Dublin,0
Primary,Female,21 years,Kildare,0
Primary,Female,21 years,Kilkenny,0
Primary,Female,21 years,Laois,0
Primary,Female,21 years,Longford,0
Primary,Female,21 years,Louth,0
Primary,Female,21 years,Meath,0
Primary,Female,21 years,Offaly,0
Primary,Female,21 years,Westmeath,0
Primary,Female,21 years,Wexford,0
Primary,Female,21 years,Wicklow,0
Primary,Female,21 years,Clare,0
Primary,Female,21 years,Cork City,0
Primary,Female,21 years,Cork County,0
Primary,Female,21 years,Kerry,0
Primary,Female,21 years,Limerick City and County,0
Primary,Female,21 years,Tipperary,0
Primary,Female,21 years,Waterford City and County,0
Primary,Female,21 years,Galway City,0
Primary,Female,21 years,Galway County,0
Primary,Female,21 years,Leitrim,0
Primary,Female,21 years,Mayo,0
Primary,Female,21 years,Roscommon,0
Primary,Female,21 years,Sligo,0
Primary,Female,21 years,Cavan,0
Primary,Female,21 years,Donegal,0
Primary,Female,21 years,Monaghan,0
,,,,
Primary,Female,22 years,State,0
Primary,Female,22 years,Carlow,0
Primary,Female,22 years,Dublin City,0
Primary,Female,22 years,Dún Laoghaire-Rathdown,0
Primary,Female,22 years,Fingal,0
Primary,Female,22 years,South Dublin,0
Primary,Female,22 years,Kildare,0
Primary,Female,22 years,Kilkenny,0
Primary,Female,22 years,Laois,0
Primary,Female,22 years,Longford,0
Primary,Female,22 years,Louth,0
Primary,Female,22 years,Meath,0
Primary,Female,22 years,Offaly,0
Primary,Female,22 years,Westmeath,0
Primary,Female,22 years,Wexford,0
Primary,Female,22 years,Wicklow,0
Primary,Female,22 years,Clare,0
Primary,Female,22 years,Cork City,0
Primary,Female,22 years,Cork County,0
Primary,Female,22 years,Kerry,0
Primary,Female,22 years,Limerick City and County,0
Primary,Female,22 years,Tipperary,0
Primary,Female,22 years,Waterford City and County,0
Primary,Female,22 years,Galway City,0
Primary,Female,22 years,Galway County,0
Primary,Female,22 years,Leitrim,0
Primary,Female,22 years,Mayo,0
Primary,Female,22 years,Roscommon,0
Primary,Female,22 years,Sligo,0
Primary,Female,22 years,Cavan,0
Primary,Female,22 years,Donegal,0
Primary,Female,22 years,Monaghan,0
,,,,
Primary,Female,23 years,State,0
Primary,Female,23 years,Carlow,0
Primary,Female,23 years,Dublin City,0
Primary,Female,23 years,Dún Laoghaire-Rathdown,0
Primary,Female,23 years,Fingal,0
Primary,Female,23 years,South Dublin,0
Primary,Female,23 years,Kildare,0
Primary,Female,23 years,Kilkenny,0
Primary,Female,23 years,Laois,0
Primary,Female,23 years,Longford,0
Primary,Female,23 years,Louth,0
Primary,Female,23 years,Meath,0
Primary,Female,23 years,Offaly,0
Primary,Female,23 years,Westmeath,0
Primary,Female,23 years,Wexford,0
Primary,Female,23 years,Wicklow,0
Primary,Female,23 years,Clare,0
Primary,Female,23 years,Cork City,0
Primary,Female,23 years,Cork County,0
Primary,Female,23 years,Kerry,0
Primary,Female,23 years,Limerick City and County,0
Primary,Female,23 years,Tipperary,0
Primary,Female,23 years,Waterford City and County,0
Primary,Female,23 years,Galway City,0
Primary,Female,23 years,Galway County,0
Primary,Female,23 years,Leitrim,0
Primary,Female,23 years,Mayo,0
Primary,Female,23 years,Roscommon,0
Primary,Female,23 years,Sligo,0
Primary,Female,23 years,Cavan,0
Primary,Female,23 years,Donegal,0
Primary,Female,23 years,Monaghan,0
,,,,
Primary,Female,24 years,State,0
Primary,Female,24 years,Carlow,0
Primary,Female,24 years,Dublin City,0
Primary,Female,24 years,Dún Laoghaire-Rathdown,0
Primary,Female,24 years,Fingal,0
Primary,Female,24 years,South Dublin,0
Primary,Female,24 years,Kildare,0
Primary,Female,24 years,Kilkenny,0
Primary,Female,24 years,Laois,0
Primary,Female,24 years,Longford,0
Primary,Female,24 years,Louth,0
Primary,Female,24 years,Meath,0
Primary,Female,24 years,Offaly,0
Primary,Female,24 years,Westmeath,0
Primary,Female,24 years,Wexford,0
Primary,Female,24 years,Wicklow,0
Primary,Female,24 years,Clare,0
Primary,Female,24 years,Cork City,0
Primary,Female,24 years,Cork County,0
Primary,Female,24 years,Kerry,0
Primary,Female,24 years,Limerick City and County,0
Primary,Female,24 years,Tipperary,0
Primary,Female,24 years,Waterford City and County,0
Primary,Female,24 years,Galway City,0
Primary,Female,24 years,Galway County,0
Primary,Female,24 years,Leitrim,0
Primary,Female,24 years,Mayo,0
Primary,Female,24 years,Roscommon,0
Primary,Female,24 years,Sligo,0
Primary,Female,24 years,Cavan,0
Primary,Female,24 years,Donegal,0
Primary,Female,24 years,Monaghan,0
,,,,
Primary,Female,25 years and over,State,0
Primary,Female,25 years and over,Carlow,0
Primary,Female,25 years and over,Dublin City,0
Primary,Female,25 years and over,Dún Laoghaire-Rathdown,0
Primary,Female,25 years and over,Fingal,0
Primary,Female,25 years and over,South Dublin,0
Primary,Female,25 years and over,Kildare,0
Primary,Female,25 years and over,Kilkenny,0
Primary,Female,25 years and over,Laois,0
Primary,Female,25 years and over,Longford,0
Primary,Female,25 years and over,Louth,0
Primary,Female,25 years and over,Meath,0
Primary,Female,25 years and over,Offaly,0
Primary,Female,25 years and over,Westmeath,0
Primary,Female,25 years and over,Wexford,0
Primary,Female,25 years and over,Wicklow,0
Primary,Female,25 years and over,Clare,0
Primary,Female,25 years and over,Cork City,0
Primary,Female,25 years and over,Cork County,0
Primary,Female,25 years and over,Kerry,0
Primary,Female,25 years and over,Limerick City and County,0
Primary,Female,25 years and over,Tipperary,0
Primary,Female,25 years and over,Waterford City and County,0
Primary,Female,25 years and over,Galway City,0
Primary,Female,25 years and over,Galway County,0
Primary,Female,25 years and over,Leitrim,0
Primary,Female,25 years and over,Mayo,0
Primary,Female,25 years and over,Roscommon,0
Primary,Female,25 years and over,Sligo,0
Primary,Female,25 years and over,Cavan,0
Primary,Female,25 years and over,Donegal,0
Primary,Female,25 years and over,Monaghan,0
,,,,
,,,,
,,,,
Lower secondary,Male,18 years,State,12546
Lower secondary,Male,18 years,Carlow,171
Lower secondary,Male,18 years,Dublin City,1060
Lower secondary,Male,18 years,Dún Laoghaire-Rathdown,294
Lower secondary,Male,18 years,Fingal,581
Lower secondary,Male,18 years,South Dublin,571
Lower secondary,Male,18 years,Kildare,499
Lower secondary,Male,18 years,Kilkenny,307
Lower secondary,Male,18 years,Laois,259
Lower secondary,Male,18 years,Longford,137
Lower secondary,Male,18 years,Louth,342
Lower secondary,Male,18 years,Meath,480
Lower secondary,Male,18 years,Offaly,239
Lower secondary,Male,18 years,Westmeath,263
Lower secondary,Male,18 years,Wexford,525
Lower secondary,Male,18 years,Wicklow,330
Lower secondary,Male,18 years,Clare,399
Lower secondary,Male,18 years,Cork City,271
Lower secondary,Male,18 years,Cork County,1177
Lower secondary,Male,18 years,Kerry,525
Lower secondary,Male,18 years,Limerick City and County,647
Lower secondary,Male,18 years,Tipperary,558
Lower secondary,Male,18 years,Waterford City and County,276
Lower secondary,Male,18 years,Galway City,167
Lower secondary,Male,18 years,Galway County,537
Lower secondary,Male,18 years,Leitrim,109
Lower secondary,Male,18 years,Mayo,527
Lower secondary,Male,18 years,Roscommon,247
Lower secondary,Male,18 years,Sligo,212
Lower secondary,Male,18 years,Cavan,247
Lower secondary,Male,18 years,Donegal,403
Lower secondary,Male,18 years,Monaghan,186
,,,,
Lower secondary,Male,19 years,State,1823
